UNIT_NO,DIVISION,YEAR,MAKE,MODEL,CATEGORY,CATEGORY_DESC,CATEGORY_CLASS,CATEGORY_GROUP,CATEGORY_GROUP_DESC,UNIT_TYPE,FUEL_PRODUCT,AGE,EXPECTED_LIFE(YR),IN_SERVICE_DATE,CURRENT_STATUS_DESCRIPTION,HIGH_PRIORITY,OWNING_COST_CENTER,USING_COST_CENTER,MAINTENENACE_LOCATION_NAME,PARK_LOCATION,PARK_LOCATION_NAME,BILLING_CODE,MAINTENANCE CLASSIFICATION CODE,TECH_SPEC,TECH_SPEC_DESC
379046,"PARKS, FORESTRY & RECREATION",2018.0,YAMAHA,2 SEATER,GUZATEUZZZ,GM-UTILITY-CARTS <10HP 4X2 8Y UNLEAD,43140.0,2018 GAS POWERED GOLF CART,STANDARD,  OFF-ROAD ,UNLEADED,5.47443103120244,EASTERN GARAGE,Active Unit,Active Unit,P07648,,1160.0,,,,700.0,005486,NO_PM,0.0
330157,SOLID WASTE MANAGEMENT,2018.0,TENNANT,ATLV 4300,RVZCTSDZZZ,RM-LITTER-VACUUM 21-30HP 4X2 6Y DIESEL,ROADMAIN,ROAD-LIT-VAC,,OFF-ROAD,DIESEL,4.94292418188737,6.0,43334.0,Replacement Program,,SW0718,SW0718,YONGE GARAGE,003892,1050 ELLESMERE RD,STANDARD,H6HE2S--,330TENNDI18,4-WHEEL RIDE-ON LITTER VACUUM
041260,TORONTO WATER,2018.0,FORD,ESCAPE,7UZ1FEUZZZ,PASS-SUV CL1 4X4 8Y UNLEAD,CLASS1,SEDAN-PASS,SEDAN - PASSENGER,LIGHT DUTY,UNLEADED,5.6141570585997,8.0,43089.0,Active Unit,,TW2015,TW2015,FINCH GARAGE,004426,1026 FINCH AVE W,V1.5UND,BYAC---8,041FORDUN18,Ford Escape AWD Sport Utility Vehicle
050046,"PARKS, FORESTRY & RECREATION",2019.0,DODGE,RAM 1500 (TRADESMAN),5HC2FTUEZZ,PU-1/2T-CC CL2 4X4 10Y UNLEAD TC12B,CLASS2,PICKU-1/2T,PICKUP - 1/2 TON,LIGHT DUTY,UNLEADED,4.32922555175038,10.0,43558.0,Active Unit,,P00068,P00068,EASTERN GARAGE,000520,433 EASTERN AVE,V1.5UND,BYAC---8,050DODGUN19A,"Ram 1500 (DT6L98) Tradesman, Crew Cab, 4x4, 3.6L V6 with TC-12 Arrowboard"
076048,TRANSPORTATION SERVICES,2016.0,DODGE,RAM 3500,5OC3FTDZZZ,PU-1T-CC CL3 4X4 10Y DIESEL,CLASS3,PICKU-1TON,PICKUP - 1 TON,MEDIUM DUTY,DIESEL,7.33744472983257,10.0,42460.0,Active Unit,,TS6020,TS6020,EASTERN GARAGE,000582,7 LESLIE ST,V1.5UND,B6AD---8,076DODGDI16A,4X4 CREW CAB PICKUP TRUCK
112251,ENGINEERING & CONSTR. SERVICES,2009.0,FORD,E250,3TS2TTUZZZ,VAN-3/4T-CARGO-SR CL2 4X2 10Y UNLEAD,CLASS2,VAN-3/4T,VAN - 3/4 TON,  LIGHT DUTY ,UNLEADED,13.499088565449,,40211.0,Replacement Program,,ECS640,ECS640,ELLESMERE GARAGE,005680,18 DYAS RD,V1.5OVR,BYAC---8,112FORDUN09,THREE QUARTER TON CARGO VAN
319100,"PARKS, FORESTRY & RECREATION",2008.0,JOHN DEERE,5325,GRZGFWDZZZ,GM-TRACTOR 61-70HP 4X4 12Y DIESEL,GROUND,GM-TRACT,GROUNT-TRACTOR,OFF-ROAD,DIESEL / DYED DIESEL,14.6689515791476,12.0,39784.0,Active Unit,,P00415,P00415,FINCH GARAGE,004447,140 BENTWORTH AVE,STANDARD,H6AE----,319JOHNDI08A,67HP 4WD AGRICULTURAL TRACTOR
074023,TRANSPORTATION SERVICES,2019.0,  DODGE ,RAM 3500,5OS3FTUSZZ,PU-1T-SC CL3 4X4 10Y UNLEAD SPRDR,CLASS3,PICKU-1TON,PICKUP - 1 TON,MEDIUM DUTY,UNLEADED,3.69360911339422,10.0,43790.0,Active Unit,,TS6020,TS6020,INGRAM GARAGE,005495,1401 CASTLEFIELD AVE,V1.5UND,B6AD---8,074DODGUN19,"2019 Dodge Ram 3500 Tradesman (D28L62), Reg Cab, 4x4"
416003,TORONTO WATER,2000.0,MIRROCRAFT,14',BT_OB<20FT,OUTBOARD UNDER 20 FEET,36526.0,14' ALUMINUM BOAT,STANDARD,OTHER,,23.5949789764079,DISCO GARAGE,Active Unit,Active Unit,TW6015,,1160.0,,,,0.0,,MCCBOAT,0.0
064166,TRANSPORTATION SERVICES,2016.0,FORD,F250,5TS2TTDOZZ,PU-3/4T-SC CL2 4X2 10Y DIESEL PLG,CLASS2,PICKUP - 3/4 TON,064FORDDI16-1,LIGHT DUTY,DIESEL,7.33744472983257,10.0,42460.0,Active Unit,,TS6010,TS6010,ELLESMERE GARAGE,195 BERMONDSEY RD,,B6AD---8,220000.0,3/4 TON PICKUP TRUCK - STANDARD CAB 4X2 PLG,V1.5UND
