UNIT_NO,DIVISION,YEAR,MAKE,MODEL,CATEGORY,CATEGORY_DESC,CATEGORY_CLASS,CATEGORY_GROUP,CATEGORY_GROUP_DESC,UNIT_TYPE,FUEL_PRODUCT,AGE,EXPECTED_LIFE(YR),IN_SERVICE_DATE,CURRENT_STATUS_DESCRIPTION,HIGH_PRIORITY,OWNING_COST_CENTER,USING_COST_CENTER,MAINTENENACE_LOCATION_NAME,PARK_LOCATION,PARK_LOCATION_NAME,BILLING_CODE,MAINTENANCE CLASSIFICATION CODE,TECH_SPEC,TECH_SPEC_DESC
376096,"PARKS, FORESTRY & RECREATION",2015.0,ZAMBONI,525,ISZGZTLZZZ,ICE-RESURF 61-70HP 10Y LPG,10.0,376ZAMBPR15B,1000 L CAPACITY RIDE-ON ICE RESURFACER,OFF-ROAD,  PROPANE ,8.34018445585997,,EASTERN GARAGE,Active Unit,P01191,P03021,PROPANE GAS,Active Unit,,,0.0,4900.0,STANDARD,NONMETER
334021,EXHIBITION PLACE,2011.0,GENIE,GS-2646,LBZITIEZZZ,LIFT-ART-BOOMLIFT 71-80HP 4X2 15Y ELECT,40857.0,Electric Powered Articulated Boom Lift Work Platform,STANDARD,OFF-ROAD,ELECTRIC,11.7292255517504,CANADIAN NATIONAL EXHIBITION,Active Unit,ACTIVE UNIT,10000336,ZERO EMISSION - ELECTRIC VEHICLE,1160.0,,,,5600.0,,NO_PM_HR,0.0
094095,FACILITIES MGMT & REAL ESTATE,2017.0,FORD,TRANSIT CONN,7VZ1TEUZZZ,PASS-MV CL1 4X2 8Y UNLEAD,CLASS1,SEDAN-PASS,SEDAN - PASSENGER,LIGHT DUTY,UNLEADED,5.95662281202435,8.0,42964.0,Active Unit,,FA0421,FA2863,ELLESMERE GARAGE,003892,1050 ELLESMERE RD,V1UND,BYAC---8,094FORDUN17,7-PASSENGER MINI VAN
159006,FLEET SERVICES,2006.0,sterling,ACTERRA,1CS6TWDZZZ,TRK-CHPR-SC CL6 4X2 12Y DIESEL,CLASS6,TRUCK - CHIPPER,159STERDI06,HEAVY DUTY,DIESEL,16.5205479452055,12.0,38924.0,Unit SOLD,,P12136,FL7009,FINCH GARAGE,27 TORYORK DR,,O6AD---9,250000.0,CHIPPER DUMP TRUCK,STANDARD
376078,"PARKS, FORESTRY & RECREATION",2013.0,ZAMBONI,445,ISZGZTCZZZ,ICE-RESURF 61-70HP 10Y CNG,10.0,376ZAMBNG13,845 L CAPACITY RIDE-ON ICE RESURFACER,OFF-ROAD,NATURAL GAS,9.73744472983257,,ELLESMERE GARAGE,Active Unit,P07682,P07682,NATURAL GAS,Replacement Program,,,0.0,4900.0,STANDARD,NO_PM
041213,engineering & constr. services,2017.0,FORD,ESCAPE,7UZ1FEUZZZ,PASS-SUV CL1 4X4 8Y UNLEAD,CLASS1,SEDAN-PASS,SEDAN - PASSENGER,LIGHT DUTY,UNLEADED,6.77854062024353,8.0,42664.0,Active Unit,,ECS620,ECS620,DISCO GARAGE,005940,2 CIVIC CENTRE CRT,V1.5UND,BYAC---8,041FORDUN17,AWD SPORT UTILITY VEHICLE
378337,"PARKS, FORESTRY & RECREATION",2022.0,JOHN DEERE,XUV835M,GUZFFEUZZZ,GM-UTILITY-CARTS 51-60HP 4X4 8Y UNLEAD,8.0,GROUND-UTILITY CARTS,378JOHNUN22,off-road,UNLEADED / DYED DIESEL,0.468951579147641,,FINCH GARAGE,Active Unit,P00404,P00404,,Active Unit,4169 BATHURST ST,,NO_PM_HR,0.0,2022 JOHN DEERE XUV835M 4X4 GATOR UTILITY VEHICLE,STANDARD
115020,"PARKS, FORESTRY & RECREATION",2017.0,FORD,TRANSIT 350,3OS2TTUZZZ,VAN-1T-CARGO-SR CL2 4X2 10Y UNLEAD,CLASS2,VAN-1TON,VAN - 1 TON,LIGHT DUTY,UNLEADED,5.34292418188737,10.0,43188.0,Active Unit,,P00853,P00853,FINCH GARAGE,4426-1,21 ALNESS ST,V1.5UND,BYAC---8,114FORDUN17,ONE TON CARGO VAN
329059,TORONTO WATER,2022.0,CAT,GP40N1,LFZJTILZZZ,LIFT-FORKLIFT 81-100HP 4X2 15Y LPG,15.0,329CATEPR22,2022 CAT GP40N1 8000 LBS CAPACITY PROPANE FORKLIFT,OFF-ROAD,,0.775800894216134,,EASTERN GARAGE,Active Unit,TW4022,TW4022,PROPANE GAS,Active Unit,,,0.0,7000.0,STANDARD,H6ACK---
043124,FLEET SERVICES,2004.0,FORD,F150,5HS2TTUZZZ,PU-1/2T-SC CL2 4X2 10Y UNLEAD,CLASS2,PICKU-1/2T,PICKUP - 1/2 TON,LIGHT DUTY,UNLEADED,19.2497734969559,10.0,38112.0,redeployed unit,,TP0100,FL1503,YONGE GARAGE,000619,1008 YONGE ST,STANDARD,OYAC---8,043FORDUN04,STANDARD CAB PICKUP TRUCK
007021,TORONTO HOUSING COMPANY,2015.0,FORD,INTERCEPTOR,7FP1FEUZZZ,PASS-FS-POLICE CL1 4X4 8Y UNLEAD,CLASS1,SEDAN-PASS,SEDAN - PASSENGER,LIGHT DUTY,UNLEADED,7.6141570585997,8.0,42359.0,Replacement Program,,10000174,10000174,ELLESMERE GARAGE,,,V1.5UND,BYAC---8,007FORDUN15,Ford Police Interceptor Sedan
204027,TORONTO WATER,2018.0,INTERNATIO,WORKSTA 7600,1WS8TTDZZZ,TRK-SEWER-SC CL8 4X2 10Y DIESEL,CLASS8,TRUCK-SEWER,TRUCK - SEWER,HEAVY DUTY,DIESEL,5.07443103120243,10.0,43286.0,Active Unit,,TW2025,TW2025,FINCH GARAGE,004426,1026 FINCH AVE W,V8.25UND,B6AD---9,204INTEDI18,Vactor 2100 Positive Displacement Combination Sewer Cleaner
266053,TRANSPORTATION SERVICES,2009.0,J&J,LD-1,4UZL1IZZZZ,TRL-UTILITY LIGHT SINGLE AXLE 15Y,15.0,,266J&JNA09,OTHER,,13.8936091133942,,ELLESMERE GARAGE,Active Unit,TS6020,TS6020,,Replacement Program,891 MORNINGSIDE AVE,,ND------,0.0,SINGLE AXLE LOWBED UTILTY TILT TRAILER,STANDARD
396360,"PARKS, FORESTRY & RECREATION",2013.0,TORO,7210,GMZDWTDZZZ,GM-MOWER 31-40HP 2X2 10Y DIESEL,10.0,396TORODI13D,"35 HP 2WD, 6' RIDE-ON ZERO TURN ROTARY MOWER WITH WINTER CAB",OFF-ROAD,DIESEL,9.98128034627093,,BOOTH GARAGE,Active Unit,P00497,P00545,,Active Unit,,,0.0,2800.0,STANDARD,NO_PM_HR
112336,"PARKS, FORESTRY & RECREATION",2013.0,FORD,E250,3TS2TTUHZZ,VAN-3/4T-CARGO-SR CL2 4X2 10Y UNLEAD SH,CLASS2,VAN - 3/4 TON,112FORDUN13-1,LIGHT DUTY,UNLEADED,10.0607324010654,10.0,41466.0,Active Unit,,P00085,P00085,DISCO GARAGE,441 KIPLING AVE,,BYAC---8,220000.0,THREE QUARTER TON CARGO VAN SHINV,V1.5OVR
223080,SOLID WASTE MANAGEMENT,2018.0,FREIGHTLNR,M2 106,9SY7TSDZZZ,PACK-SIDEL-16CUYD CL7 4X2 6Y DIESEL,CLASS7,TRUCK-SLOAD,TRUCK - SIDE LOADER,HEAVY DUTY,DIESEL,5.63059541476408,,43083.0,Replacement Program,,SW0715,SW0715,BOOTH GARAGE,000520,433 EASTERN AVE,V8UND,B6AD---9,223FREIDI18,CONVENTIONAL CHASSIS WITH HAUL-ALL 16 CU.YD MANUAL SIDE LOAD SPLIT 45/55 PACKER BODY
112214,ENGINEERING & CONSTR. SERVICES,2008.0,FORD,E250,3TS2TTUZZZ,VAN-3/4T-CARGO-SR CL2 4X2 10Y UNLEAD,CLASS2,VAN-3/4T,VAN - 3/4 TON,LIGHT DUTY,UNLEADED,14.9867597983257,10.0,39668.0,Replacement Program,,ECS640,ECS640,ELLESMERE GARAGE,005680,18 DYAS RD,V1.5OVR,OYAC---8,112FORDUN08,THREE QUARTER TON CARGO VAN
050129,TORONTO WATER,2021.0,DODGE,RAM 1500,5HC2FTUZZZ,PU-1/2T-CC CL2 4X4 10Y UNLEAD,CLASS2,PICKU-1/2T,PICKUP - 1/2 TON,LIGHT DUTY,UNLEADED,2.60319815449011,10.0,44188.0,Active Unit,,TW2035,TW2035,DISCO GARAGE,002426,150 DISCO RD,V1.5UND,BYAC---8,050DODGUN21,"2021 Ram 1500 Tradesman Crew Cab 4x4 (5'7"" Box)"
396482,"PARKS, FORESTRY & RECREATION",2018.0,TORO,3280D,GMZCFTDZZZ,GM-MOWER 21-30HP 4X4 10Y DIESEL,GROUND,GROUND-MOWER,396TORODI18A,OFF-ROAD,DYED DIESEL,5.14018445585997,10.0,43262.0,Active Unit,,P00155,P00155,DISCO GARAGE,,,NO_PM_HR,0.0,2018 TORO 3280 GROUNDMASTER 72IN FRONT DECK  ROTARY MOWER,STANDARD
041297,TORONTO WATER,2018.0,FORD,ESCAPE,7UZ1FEUZZZ,PASS-SUV CL1 4X4 8Y UNLEAD,CLASS1,SEDAN-PASS,SEDAN - PASSENGER,LIGHT DUTY,UNLEADED,4.63059541476408,,43448.0,ACTIVE UNIT,,TW5007,TW5007,ELLESMERE GARAGE,3892-1,1076 ELLESMERE RD,V1.5UND,BYAC---8,041FORDUN18,Ford Escape AWD Sport Utility Vehicle
080078,TRANSPORTATION SERVICES,2013.0,FORD,F450,1US5TTDMZZ,TRK-UTLTY-SC CL5 4X2 10Y DIESEL CMPR,CLASS5,TRUCK- UTILI,TRUCK - UTILITY,MEDIUM DUTY,DIESEL,10.353883085997,10.0,41359.0,Replacement Program,,TS6010,TS6010,ELLESMERE GARAGE,4869-1,195 BERMONDSEY RD,V4OVR,B6AD---8,080FORDDI13,STANDARD CAB WITH UTILITY BODY
156150,"PARKS, FORESTRY & RECREATION",2015.0,DODGE,RAM 4500,1DC4FTDZZZ,TRK-DUMP-CC CL4 4X4 10Y DIESEL,CLASS4,TRUCK-DUMP,TRUCK - DUMP,MEDIUM DUTY,DIESEL,8.57032144216134,10.0,42010.0,Active Unit,,P12017,P12017,BOOTH GARAGE,0520-1,50 BOOTH AVE,V4UND,B6AD---8,156DODGDI15,4WD CREW CAB WITH 9FT. DUMP BODY
007020,TORONTO HOUSING COMPANY,2015.0,FORD,INTERCEPTOR,7FP1FEUZZZ,PASS-FS-POLICE CL1 4X4 8Y UNLEAD,CLASS1,SEDAN - PASSENGER,007FORDUN15,LIGHT DUTY,UNLEADED,7.53744472983257,8.0,42387.0,Active Unit,,10000174,10000174,EASTERN GARAGE,,,BYAC---8,160000.0,Ford Police Interceptor Sedan,V1.5UND
156188,TRANSPORTATION SERVICES,2020.0,FORD,F-450,1DC4FTUZZZ,TRK-DUMP-CC CL4 4X4 10Y UNLEAD,CLASS4,TRUCK-DUMP,TRUCK - DUMP,MEDIUM DUTY,UNLEADED,3.312787195586,10.0,43929.0,Active Unit,,TS6020,TS6020,BOOTH GARAGE,000520,433 EASTERN AVE,V4UND,B6AD---8,156FORDUN20,"2020 Ford F-450, Crew Cab, 4x4, 7.3L V8 Gasoline, with 9ft Dump Body"
395048,"PARKS, FORESTRY & RECREATION",2019.0,TORO,3150,GMZBHTUZZZ,GM-MOWER 11-20HP 3x2 10Y UNLEAD,10.0,395TOROUN19,18 HP 3WD RIDE-ON REEL TYPE TRIPLEX GREENS MOWER,OFF-ROAD,UNLEADED,4.01963651065449,,EASTERN GARAGE,Active Unit,P07646,P07646,,Active Unit,,,0.0,1400.0,STANDARD,NO_PM_HR
064158,"PARKS, FORESTRY & RECREATION",2015.0,DODGE,RAM 2500,5TS2FTDPOZ,PU-3/4T-SC CL2 4X4 10Y DIESEL PLPLG,CLASS2,PICKU-3/4T,PICKUP - 3/4 TON,LIGHT DUTY,DIESEL,8.54292418188737,10.0,42020.0,Active Unit,,P00404,P00404,FINCH GARAGE,006063,5720 BATHURST ST,V1.5UND,B6AD---8,064DODGDI15,4WD REGULAR CAB PICKUP TRUCK
267201,"PARKS, FORESTRY & RECREATION",2017.0,WEBE,WL1200,4UZL2IZZZZ,TRL-UTILITY LIGHT TANDEM AXLE 15Y,42738.0,2017 VIA TRAILER 16FT TANDEM AXLE FARM TRAILER,STANDARD,OTHER,,6.57580089421613,EASTERN GARAGE,Active Unit,Active Unit,P00155,,1160.0,,,,0.0,,ND------,0.0
112347,PUBLIC HEALTH,2013.0,MERCEDES,SPRINTER2500,3TS2TTDZZZ,VAN-3/4T-CARGO-SR CL2 4X2 10Y DIESEL,CLASS2,VAN-3/4T,VAN - 3/4 TON,LIGHT DUTY,DIESEL,9.63881459284627,10.0,41620.0,Active Unit,,PH4061,PH4061,EASTERN GARAGE,000520,433 EASTERN AVE,V1.5UND,BYAC---8,112MERCDI13A,2013 MERCEDES-BENZ SPRINTER 2500 NEEDLE EXCHANGE CUSTOM INTERIOR
319106,"PARKS, FORESTRY & RECREATION",2008.0,JOHN DEERE,5325,GRZGFWDZZZ,GM-TRACTOR 61-70HP 4X4 12Y DIESEL,GROUND,GM-TRACT,GROUNT-TRACTOR,OFF-ROAD,DIESEL,14.6689515791476,12.0,39784.0,Active Unit,,P13471,P13471,DISCO GARAGE,005109,301 ROCKCLIFFE BLVD,STANDARD,H6AE----,319JOHNDI08A,67HP 4WD AGRICULTURAL TRACTOR
323125,TRANSPORTATION SERVICES,2022.0,CASE,721G,CLZQFWDZZZ,CON-ART-LOADER 141-180HP 4X4 12Y DIESEL,CONSTRUCT,CON-ART-LOAD,CONSTRUCT-ARTICULATED LOADER,OFF-ROAD,DIESEL,0.992239250380517,12.0,44776.0,active unit,,TS6000,TS6000,ELLESMERE GARAGE,40010,ELLESMERE GARAGE,STANDARD,H6AC----,323CASEDI22,2022 CASE 721G 180HP ARTICULATED LOADER
135165,"PARKS, FORESTRY & RECREATION",2017.0,  FORD ,E450,1BS4TTUZZZ,TRK-CUBE-SC CL4 4X2 10Y UNLEAD,CLASS4,TRUCK-CUBE,TRUCK - CUBE,MEDIUM DUTY,UNLEADED,6.6114173325723,10.0,42725.0,Active Unit,,P00898,P00898,INGRAM GARAGE,005109,301 ROCKCLIFFE BLVD,V3UND,B6AD---8,135FORDUN17,2017 FORD E-450 14FT CUBE VAN
289041,TRANSPORTATION SERVICES,2018.0,FALCON,P2D1XI,AFZE2IDZZZ,APP-ASPHALT-BOX 41-50HP TANDEMAXLE 15Y DIESEL,APPARATUS,APP-ASPHALT-B,APPARUTUS ASPHALT BOX,OTHER,DIESEL,4.51552692161339,15.0,43490.0,active unit,,TS6020,TS6020,ELLESMERE GARAGE,003892,1050 ELLESMERE RD,STANDARD,HC2S----,289FALCDI18,"Trailer Mount Air Jacketed Hopper Asphalt Carrier, capacity of 2 Ton (4,000 Lbs) - Diesel Powered"
202029,"PARKS, FORESTRY & RECREATION",2012.0,INTERNATIO,WORKSTA 7300,1ZS8TWDZZZ,TRK-CHPR-EXTARL-SC CL8 4X2 12Y DIESEL,CLASS8,TRUCK-EXARCHI,truck-CHIPPER EXTENDED AERIAL,HEAVY DUTY,DIESEL,11.7840200722983,12.0,40837.0,Active Unit,,P00038,P00038,ELLESMERE GARAGE,003896,70 NASHDENE RD,V6.25UND,B6ADR--9,202INTEDI12,TRUCK WITH ELE EXT. AERIAL DEVICE & CHIPPER DUMP BODY
322088,TORONTO WATER,2019.0,CASE,580SN,CBZJFWDUZZ,CON-BACKHOE 81-100HP 4X4 12Y DIESEL HAMMER,CONSTRUCT,CON-BACKHOE,,OFF-ROAD,DIESEL / DYED DIESEL,3.4086776065449,12.0,43894.0,  Active Unit ,,TW2015,TW2015,EASTERN GARAGE,001984,30 NORTHLINE RD,STANDARD,H6AC----,322CASEDI19-1,95 HP LOADER BACKHOE W HYDRAULIC HAMMER/TAMPER
378324,TORONTO WATER,2019.0,KUBOTA,RTV1100,GUZCFEDZZZ,GM-UTILITY-CARTS 21-30HP 4X4 8Y DIESEL,GROUND,,378KUBODI19,OFF-ROAD,DIESEL / DYED DIESEL,3.27717075722983,8.0,43942.0,Active Unit,,TW4015,TW4015,EASTERN GARAGE,9 LESLIE ST,,H6AE----,0.0,2019 KUBOTA 4WD UTILITY TRUCKSTER WITH FACTORY CAB,STANDARD
156075,"PARKS, FORESTRY & RECREATION",2008.0,STERLING,BULLET,1DC4TTDZZZ,TRK-DUMP-CC CL4 4X2 10Y DIESEL,CLASS4,TRUCK-DUMP,TRUCK - DUMP,MEDIUM DUTY,DIESEL,14.9155269216134,10.0,39694.0,Replacement Program,,P00670,P00670,DISCO GARAGE,002522,919 SCARLETT RD,V4OVR,O6AD---8,156STERDI08,2WD CREWCAB WITH 10FT. DUMP BODY
376090,"PARKS, FORESTRY & RECREATION",2014.0,ZAMBONI,445,ISZGZTCZZZ,ICE-RESURF 61-70HP 10Y CNG,10.0,376ZAMBNGLP14,845 L CAPACITY DUAL FUEL RIDE-ON ICE RESURFACER,OFF-ROAD,NATURAL GAS,8.83607486681887,,ELLESMERE GARAGE,Active Unit,P07679,P07679,NATURAL GAS,Active Unit,,,0.0,4900.0,STANDARD,NO_PM
094101,TORONTO WATER,2018.0,DODGE,CARAVAN,7VZ2TEUZZZ,PASS-MV CL2 4X2 8Y UNLEAD,CLASS2,VAN-PASS,VAN - PASSENGER,LIGHT DUTY,UNLEADED,5.09634883942161,8.0,43278.0,ACTIVE UNIT,,TW5020,TW5020,FINCH GARAGE,005331,2126 KIPLING AVE,V1UND,BYAC---8,094DODGUN18,Dodge Grand Caravan SXT Passenger Minivan
323061,TRANSPORTATION SERVICES,2010.0,  CASE ,721E,CLZQFWDZZZ,CON-ART-LOADER 141-180HP 4X4 12Y DIESEL,CONSTRUCT,CON-ART-LOAD,CONSTRUCT-ARTICULATED LOADER,OFF-ROAD,DIESEL,13.1374447298326,12.0,40343.0,Active Unit,,TS6030,TS6030,FINCH GARAGE,4847-1,251 ESTHER SHINER BLVD,STANDARD,H6AC----,323CASEDI10A,180 HP 4WD ARTICULATED FRONT END LOADER
324013,"PARKS, FORESTRY & RECREATION",2006.0,CASE,430,CSZIZWDZZZ,CON-SKID-STEER 71-80HP 12Y DIESEL,CONSTRUCT,CONSTRUCT-SKID STEER,324CASEDI06,OFF-ROAD,,16.7319652777778,12.0,39031.0,Active Unit,,P07647,P07646,FINCH GARAGE,,,H6AC----,0.0,4WD SKID STEER LOADER,STANDARD
095198,FACILITIES MGMT & REAL ESTATE,2021.0,DODGE,RAM PROMASTER CITY,3MZ1TEUZZZ,VAN-MINICARGO CL1 4X2 8Y UNLEAD,CLASS1,VAN-PASS,VAN - PASSENGER,LIGHT DUTY,UNLEADED,1.44703377092846,8.0,44610.0,Active Unit,,FA3666,FA3666,DISCO GARAGE,002426,150 DISCO RD,V1.5UND,BYAC---8,095DODGUN21,2021 Dodge Ram Promaster City Mini Cargo Van
111027,FLEET SERVICES,2010.0,FORD,E150,3HS2TTUHZZ,VAN-1/2T-CARGO-SR CL2 4X2 10Y UNLEAD SH,CLASS2,VAN - 1/2 TON,111FORDUN10-2,  LIGHT DUTY ,UNLEADED,13.6141570585997,10.0,40169.0,Unit at auction to be sold,,FL7009,FL7009,FINCH GARAGE,50 BOOTH AVE,,BYAC---8,180000.0,HALF TON CARGO VAN SH,STANDARD
041134,FLEET SERVICES,2013.0,FORD,ESCAPE,7UZ1FEUZZZ,PASS-SUV CL1 4X4 8Y UNLEAD,CLASS1,SEDAN-PASS,SEDAN - PASSENGER,LIGHT DUTY,UNLEADED,10.6579926750381,8.0,41248.0,Replacement Program,,FL7003,FL7009,EASTERN GARAGE,000829,131 RIVER ST,STANDARD,BYAC---8,041FORDUN13B,AWD SPORT UTILITY VEHICLE
194015,TORONTO WATER,2018.0,INTERNATIO,4300,1BS7TWDMZZ,TRK-CUBE-SC CL7 4X2 12Y DIESEL CMPR,CLASS7,TRUCK-CUBE,TRUCK - CUBE,HEAVY DUTY,,5.04429404490107,12.0,43297.0,Active Unit,,TW2015,TW2015,EASTERN GARAGE,001984,30 NORTHLINE RD,V3UND,B6AD---9,194INTEDI18,"Durastar 4300 4x2, Reg Cab w/ 18ft Van Body & Air Compressor"
396506,"PARKS, FORESTRY & RECREATION",2019.0,TORO,7200,GMZDWTDZZZ,GM-MOWER 31-40HP 2X2 10Y DIESEL,GROUND,GROUND-MOWER,396TOROZDI19,OFF-ROAD,DIESEL / DYED DIESEL,3.92922555175038,10.0,43704.0,Active Unit,,P12754,P12754,DISCO GARAGE,27 TORYORK DR,,NO_PM_HR,0.0,2019 TORO 7200 ZERO TURN 72 IN MOWER,STANDARD
319132,"PARKS, FORESTRY & RECREATION",2010.0,NEW HOLLAN,BOOMER 3045,GRZEFWDPZZ,GM-TRACTOR 41-50HP 4X4 12Y DIESEL PL,12.0,GROUNT-TRACTOR,319NEWHDI10,OFF-ROAD,DIESEL,12.14018445586,,DISCO GARAGE,Active Unit,P00656,P00656,,Replacement Program,149 ELMCREST RD,,H6AE----,0.0,43HP 4WD UTILITY TRACTOR W PLOW,STANDARD
415005,"PARKS, FORESTRY & RECREATION",2016.0,SMITHCO,SAND STAR 2,GDZBZIUZZZ,GM-SAND-GROOMER 11-20HP 15Y UNLEAD,15.0,415SMITHUN16,2016 SMITHCO SAND STAR 2 SAND GROOMER,OFF-ROAD,UNLEADED,7.18675979832572,,EASTERN GARAGE,Active Unit,P07647,P07647,,Active Unit,,,0.0,0.0,STANDARD,NO_PM
379040,EXHIBITION PLACE,2016.0,CLUB CAR,VILLAGER 4,GUZATEEZZZ,GM-UTILITY-CARTS <10HP 4X2 8Y ELECT,42411.0,2016 ELECTRIC FOUR-SEATER GOLF CART,STANDARD,OFF-ROAD,ELECTRIC,7.47169130517504,CANADIAN NATIONAL EXHIBITION,Active Unit,Active Unit,10000336,ZERO EMISSION - ELECTRIC VEHICLE,1160.0,,,,700.0,,NO_PM_HR,0.0
322101,TRANSPORTATION SERVICES,2021.0,CASE,580SN,CBZJFWDUZZ,CON-BACKHOE 81-100HP 4X4 12Y DIESEL HAMMER,CONSTRUCT,CON-BACKHOE,,OFF-ROAD,DIESEL / DYED DIESEL,0.564841990106545,12.0,44932.0,Active Unit,,TS6030,TS6030,FINCH GARAGE,4301-1,61 TORYORK DR,STANDARD,H6AC----,322CASEDI22,2022 95 HP CASE 580SN LOADER BACKHOE
378199,"PARKS, FORESTRY & RECREATION",2012.0,KUBOTA,RTV900,GUZCFEDZZZ,GM-UTILITY-CARTS 21-30HP 4X4 8Y DIESEL,41232.0,4WD UTILITY TRUCKSTER WITH OPEN CAB,STANDARD,OFF-ROAD,DIESEL,10.7018282914764,DISCO GARAGE,Active Unit,Active Unit,P00674,,1160.0,,,,2100.0,005381,NO_PM,0.0
045121,"PARKS, FORESTRY & RECREATION",2017.0,DODGE,RAM 1500,5HC2FTUZZZ,PU-1/2T-CC CL2 4X4 10Y UNLEAD,CLASS2,PICKU-1/2T,PICKUP - 1/2 TON,LIGHT DUTY,UNLEADED,5.86621185312024,10.0,42997.0,Active Unit,,P00068,P00068,BOOTH GARAGE,000520,433 EASTERN AVE,V1.5UND,BYAC---8,045DODGUN17,4WD EXT. CAB PICKUP TRUCK
WORK1166,FLEET SERVICES,1994.0,HI-WAY,P7,HSVZZTZZZZ,ATT-SPREADER-TOWBEHIND 10Y,10.0,SPREAD022494,ROAD SANDER - TOW BEHIND (HI-WAY),OTHER,,29.4497734969559,,FINCH GARAGE,Active Unit,TP0189,FL7009,,Unit is totaled,,,0.0,0.0,STANDARD,00
003344,MUNICIPAL LICENSING & STDS,2023.0,chevrolet,BOLT EUV,7SZ1TEEZZZ,PASS-SUBCOMP CL1 4X2 8Y ELECT,8.0,SEDAN - PASSENGER,003CHEVEL23,  LIGHT DUTY ,ELECTRIC,0.205937880517504,,ELLESMERE GARAGE,Active Unit,CFL007-22,MS1360,ZERO EMISSION - ELECTRIC VEHICLE,Active Unit,1530 MARKHAM RD,,OC-----8,160000.0,2023 CHEVROLET BOLT EUV ELECTRIC 5-DOOR HATCHBACK SEDAN,V1UND
047075,MUNICIPAL LICENSING & STDS,2017.0,TOYOTA,TACOMA,5CE1FTUZZZ,PU-COMP-EC CL1 4X4 10Y UNLEAD,CLASS1,PICKU-COMP,PICKUP - COMPACT,LIGHT DUTY,UNLEADED,5.84977349695586,10.0,43003.0,Active Unit,,MS1260,MS1260,DISCO GARAGE,005581,399 THE WEST MALL,V1.5UND,BYAC---8,047TOYOUN17,4X4 EXT. CAB COMPACT PICKUP TRUCK
067112,TRANSPORTATION SERVICES,2022.0,CHEVROLET,SILVERADO 2500,5TW2FTUEOZ,PU-3/4T-CC-LB CL2 4X4 10Y UNLEAD TCPLG,CLASS2,PICKU-3/4T,PICKUP - 3/4 TON,LIGHT DUTY,UNLEADED,0.471691305175038,10.0,44966.0,Active Unit,,TP0216,TP0216,ELLESMERE GARAGE,3892-2,2000 MIDLAND AVE,V1.5UND,B6AD---8,067CHEVUN22C,"2022 Chevrolet Silverado 2500HD 4WD Crew Cab, Long Box with TC12 Power Liftgate"
001110,TORONTO BUILDING,2017.0,NISSAN,VERSA NOTE,7SZ1TEUZZZ,PASS-SUBCOMP CL1 4X2 8Y UNLEAD,CLASS1,SEDAN - PASSENGER,001NISSUN17,LIGHT DUTY,UNLEADED,5.63333514079148,8.0,43082.0,Unit is totaled,,BL0005,BL0005,EASTERN GARAGE,95 THE ESPLANADE,,BYAC---8,160000.0,5-DOOR HATCHBACK SUBCOMPACT SEDAN,STANDARD
112444,SOLID WASTE MANAGEMENT,2019.0,FORD,TRANSIT 250,3TS2TTUZZZ,VAN-3/4T-CARGO-SR CL2 4X2 10Y UNLEAD,CLASS2,VAN-3/4T,VAN - 3/4 TON,LIGHT DUTY,UNLEADED,4.38949952435312,10.0,43536.0,Active Unit,,SW0011,SW0011,FINCH GARAGE,5464-1,75 VANLEY CRES,V1.5UND,BYAC---8,112FORDUN19A,THREE QUARTER TON CARGO VAN
237163,FLEET SERVICES,2015.0,MACK,LEU613,9CD8NFCZZZ,PACK-AUTOSIDELCO-25CUYD CL8 6X4 5Y CNG,CLASS8,TRUCK-SLOAD,TRUCK - SIDE LOADER,HEAVY DUTY,NATURAL GAS,6.52100637366819,5.0,42758.0,  Active Unit ,,SW1040,FL7009,ELLESMERE GARAGE,004869,25 OLD EGLINTON AVE,STANDARD,B6ADASL9,237MACKNG15A,CNG CAB OVER CHASSIS WITH HAUL-ALL 25 CU.YD DUAL GRABBER SIDE LOADER REFUSE PACKER
064113,"PARKS, FORESTRY & RECREATION",2009.0,FORD,F250,5TS2FTDZZZ,PU-3/4T-SC CL2 4X4 10Y DIESEL,CLASS2,PICKU-3/4T,PICKUP - 3/4 TON,LIGHT DUTY,DIESEL,13.74018445586,10.0,40123.0,Active Unit,,FL7003,P00833,ELLESMERE GARAGE,003896,70 NASHDENE RD,MP-PU06,B6AD---8,064FORDDI09A,4X4 3/4 TON PICKUP TRUCK
094136,TORONTO HOUSING COMPANY,2022.0,FORD,TRANSIT CONN,7VZ1TEUZZZ,PASS-MV CL1 4X2 8Y UNLEAD,CLASS1,SEDAN-PASS,SEDAN - PASSENGER,LIGHT DUTY,UNLEADED,,8.0,44917.0,  Active Unit ,,10000174,10000174,EASTERN GARAGE,10010,EASTERN GARAGE,V1UND,BYAC---8,094FORDUN22,2022 Ford Transit Connect XLT Passenger Van Wagon
294095,"PARKS, FORESTRY & RECREATION",2022.0,MORBARK,1415,ABZP1WUZZZ,APP-BRUSH-CH 101-140HP SINGLE AXLE 12Y UNLEAD,APPARATUS,APPARUTUS-BRUSH CHIPPER,294MORBUN22,OTHER,UNLEADED,0.551143359969559,12.0,44937.0,Active Unit,,P12136,P12136,FINCH GARAGE,27 TORYORK DR,,HC------,0.0,2022 MORBARK 1415 TOW BEHIND BRUSH CHIPPER WITH WINCH,STANDARD
