UNIT_NO,LAST_FUEL_DATE,LAST_WORKORDER_OPEN_DATE,M5_LIFE_KM_USAGE(KM),M5_LIFE_HRS_USAGE(Hrs),M5_YTD_KM_USAGE(KM),M5_YTD_HRS_USAGE(Hrs),AVAILABLE HOURS (Hrs),DOWNTIME(Hrs),EXPECT_USAGE(KM),EXPECT_USAGE(Hrs),VEU
041259,45138.3470717593,44979.3435416667,35456.0,626.0,4497.0,3.0,1160.0,62.1302777777778,160000.0,4000.0,1.5
236288,43830.0,45126.6439814815,52807.0,4033.0,3507.0,304.0,1160.0,131.23,250000.0,10000.0,8.0
322079,44959.3174421296,,0.0,3735.0,0.0,96.0,1160.0,93.9530555555556,0.0,7000.0,8.0
270012,,0.0,,0.0,TRAILER,15.0,TRL-OFFICE,TRAILER-OFFICE,545 COMMISSIONERS ST,,270ALANNA19
267219,44939.5794212963,0.0,0.0,0.0,0.0,TRAILER,66.0938888888889,0.5,0.0,001984,TRL-UTILITY
267113,44907.4015856481,0.0,0.0,0.0,0.0,TRAILER,48.0,0.5,0.0,003763,TRL-UTILITY
003092,44974.3948726852,44986.4097569444,62273.0,313.0,1534.0,1.0,648.0,22.7805555555556,160000.0,0.0,1.0
204022,45138.3329398148,45132.5691319444,82461.0,4744.0,2641.0,87.0,1160.0,951.184444444445,250000.0,10000.0,8.25
041307,45127.7530208333,44938.4074189815,4525.0,339.0,989.0,105.0,1160.0,67.9869444444444,160000.0,4000.0,1.5
111091,45125.5124074074,45093.419212963,32313.0,1095.0,3625.0,0.0,1160.0,16.4833333333333,180000.0,0.0,1.5
112423,45126.3650347222,45132.5971412037,33316.0,1485.0,3421.0,198.0,1160.0,0.0,220000.0,0.0,1.5
080104,45134.3350810185,45111.3356134259,39233.0,2431.0,6156.0,300.0,1160.0,21.2594444444444,220000.0,5500.0,4.0
111033,44903.368599537,44938.3045138889,29134.0,418.0,0.0,0.0,152.0,0.0,180000.0,0.0,1.5
194021,45129.3049074074,45090.2739814815,39533.0,1396.0,3741.0,306.0,1160.0,116.756944444444,250000.0,10000.0,3.0
269060,43657.7701273148,0.0,0.0,0.0,0.0,APPARATUS,0.5,APP-ARR-BD,001984,30 NORTHLINE RD,APPARUTUS ARROW BOARD
006216,0.0,0.0,0.0,0.0,WINTERMAIN,25.0,WM-SW-PLOW,WINTER-MAIN-SIDEWALK SNOW PLOW,433 EASTERN AVE,,PLOW010881
267215,45083.2898611111,0.0,0.0,0.0,0.0,TRAILER,48.0,0.5,0.0,000619,TRL-UTILITY
112487,,45107.5038773148,9817.0,759.0,6.0,2.0,1160.0,7.50472222222222,220000.0,0.0,1.5
250522,45106.3103356482,0.0,0.0,0.0,0.0,TRAILER,62.9261111111111,0.5,0.0,005449,TRL-VAN/TANK
112493,45138.2953009259,45135.2842361111,36346.0,2453.0,9374.0,682.0,1160.0,37.1108333333333,220000.0,,1.5
267226,45002.3938657407,0.0,0.0,0.0,0.0,TRAILER,134.547222222222,0.5,0.0,005154,TRL-VT-WATER
267123,45096.4986574074,0.0,0.0,0.0,0.0,TRAILER,46.9102777777778,0.5,0.0,005513,TRL-UTILITY
302005,44589.4293287037,0.0,121.0,0.0,0.0,APPARATUS,0.5,APP-WATER-PMP,004426,,APPARUTUS-WATER PUMP
298010,44732.3636342593,0.0,880.0,0.0,0.0,APPARATUS,4.25,APP-LEAF-LD,4301-1,61 TORYORK DR,APPARUTUS-LEAF LOADER
041347,45092.4438310185,44656.5285532407,2428.0,121.0,1603.0,81.0,1160.0,1.5,4000.0,002990,SEDAN-PASS
319177,44581.2118171296,44945.4704861111,0.0,386.0,0.0,1.0,1160.0,1068.70833333333,0.0,3500.0,2.0
322086,45138.2902546296,45124.5529282407,0.0,2443.0,0.0,285.0,1160.0,198.768888888889,0.0,7000.0,8.0
319051,43726.3529398148,45012.4826273148,0.0,1660.0,0.0,301.0,1160.0,0.0,0.0,3500.0,0.5
159016,44851.374212963,44853.2833680556,41538.0,1770.0,1.0,1.0,648.0,0.0,250000.0,0.0,5.0
041281,44986.5358680556,44971.2689351852,40325.0,14.0,293.0,1.0,1160.0,16.2833333333333,160000.0,4000.0,1.5
415009,43291.3977546296,,2.0,0.0,0.0,ATTACHMENT,0.5,ATT-SAND-GRM,000535,1200 LANSDOWNE AVE,ATTACHMENT-SAND GROOMER
269020,44032.2989930556,0.0,0.0,0.0,0.0,APPARATUS,0.5,APP-ARR-BD,000582,7 LESLIE ST,APPARUTUS ARROW BOARD
318046,45098.5523958333,45033.5204398148,0.0,584.0,0.0,192.0,1160.0,43.7138888888889,0.0,3500.0,0.5
045094,45134.5995023148,45111.5297685185,71394.0,4374.0,2630.0,1.0,1160.0,146.563055555556,180000.0,0.0,1.5
376090,43151.3621527778,560.0,303.0,0.0,0.0,ICEMAIN,3.0,ICE-RESURF,003894,1967 ELLESMERE RD,ICE-MAIN-RESURFACER
378173,43563.5105555556,4.0,3.0,0.0,0.0,GROUND,1.0,GM-UT-CART,0582-1,9 LESLIE ST,
294074,44889.5943402778,45113.4436342593,0.0,212.0,0.0,1.0,1160.0,13.3527777777778,0.0,6300.0,1.0
074037,45098.4727083333,44929.5509259259,409.0,64.0,409.0,64.0,1056.0,35.0458333333333,220000.0,5500.0,1.5
267281,0.0,0.0,0.0,0.0,TRAILER,15.0,TRL-UTILITY,,30 NORTHLINE RD,,267J&JNA23
045127,45128.3123842593,45054.2830902778,37420.0,1870.0,5167.0,138.0,1160.0,18.6647222222222,180000.0,4500.0,1.5
135178,45127.4686226852,44909.4351273148,12710.0,565.0,1882.0,0.0,1160.0,1.5,0.0,005109,VAN-1TON
041183,45135.4514236111,44887.4051157407,57663.0,2151.0,2902.0,2.0,1160.0,,4000.0,000782,SEDAN-PASS
223097,45138.9127662037,45138.3403125,116421.0,10019.0,22598.0,1936.0,1160.0,336.236388888889,250000.0,6250.0,8.0
065091,44917.5165046296,44974.404837963,107670.0,3497.0,1.0,1.0,304.0,237.025833333333,220000.0,0.0,1.5
378278,45131.5518055556,43025.4406944444,0.0,1299.0,0.0,118.0,1160.0,1.0,2100.0,005043,GM-UT-CART
415010,0.0,0.0,0.0,0.0,GROUND,10.0,GM-MOWER,GROUND-MOWER,,,415TOROUN18
319204,44995.298125,45106.363900463,0.0,812.0,0.0,141.0,1160.0,336.841111111111,0.0,3500.0,2.0
064161,45124.3074537037,45126.2934606482,109425.0,2615.0,11977.0,7.0,1160.0,47.9772222222222,220000.0,0.0,1.5
206088,45135.2764583333,45127.6520833333,108027.0,1766.0,10809.0,512.0,1160.0,,400000.0,10000.0,5.0
045177,45128.4478935185,45029.6320833333,17573.0,1996.0,3809.0,387.0,1160.0,26.695,180000.0,0.0,1.5
378247,44740.4344907407,42354.2812962963,21309.0,1.0,0.0,0.0,1160.0,1.0,,,GM-UT-CART
294065,45042.3082060185,44872.5308912037,0.0,1064.0,0.0,35.0,1160.0,1.0,6300.0,003896,APP-BRUSH-CH
045105,45133.5375115741,45128.5408101852,82215.0,5317.0,5623.0,,1160.0,202.632777777778,180000.0,0.0,1.5
176026,45086.4796990741,45121.3766203704,34342.0,2282.0,381.0,62.0,1160.0,48.6313888888889,250000.0,10000.0,5.5
319171,44851.4063657407,45071.272037037,0.0,501.0,0.0,35.0,1160.0,77.79,0.0,7000.0,0.5
319155,45138.49125,41961.3612152778,0.0,1403.0,0.0,63.0,1160.0,0.5,3500.0,,GM-TRACT
270011,45050.5423032407,0.0,0.0,0.0,0.0,TRAILER,66.9847222222222,0.5,0.0,000520,TRL-OFFICE
046026,45113.46375,45072.3108912037,767.0,37.0,767.0,37.0,336.0,12.4294444444444,180000.0,4500.0,1.5
396274,42926.3285069444,43361.4244212963,0.0,1247.0,0.0,0.0,1160.0,0.5,2800.0,003688,GM-MOWER
378324,44599.4772222222,44678.3395486111,0.0,261.0,0.0,0.0,1160.0,1.0,2100.0,0582-1,GM-UT-CART
112408,45138.4609027778,45077.7388194444,29763.0,886.0,3981.0,248.0,1160.0,268.329444444444,220000.0,0.0,1.5
080115,45134.6373726852,45099.4100925926,433.0,12.0,433.0,12.0,128.0,74.6627777777778,,5500.0,
064160,45132.2992361111,45119.3193171296,70936.0,2777.0,10192.0,418.0,1160.0,0.967777777777778,220000.0,0.0,1.5
376076,42632.4150925926,1.0,1.0,0.0,0.0,ICEMAIN,3.0,ICE-RESURF,004718,3230 BAYVIEW AVE,ICE-MAIN-RESURFACER
334011,,0.0,0.0,0.0,LIFTING,15.0,LIFT-ART-BLIF,LIFTING-ARTICULATED BOOMLIFT,,,334GENELE14A
041273,45071.4120601852,43802.4836226852,17509.0,1300.0,1250.0,75.0,1160.0,1.5,4000.0,,SEDAN-PASS
